SIL sil sil
+hGH
+QK
A a a
A/1 a a
AE ɛ E
AE/1 ɛ E
B b b
B/1 b b
BB p͈ p
BB/1 p͈ p
CHh tɕʰ t_s_h\
CHh/1 tɕʰ t_s_h\
D d d
D/1 d d
DD t͈ t
DD/1 t͈ t
E e e
E/1 e e
EO ə @
EO/1 ə @
EU ɨ 1
EU/1 ɨ 1
euI ɨi 1i
euI/1 ɨi 1i
G g g
G/1 g g
GG k͈ k
GG/1 k͈ k
H h h
H/1 h h
I i i
I/1 i i
iA ia ia
iA/1 ia ia
iE ie ie
iE/1 ie ie
iEO iə i@
iEO/1 iə i@
iO io io
iO/1 io io
iU iu iu
iU/1 iu iu
J j j
J/1 j j
JJ tɕ͈ t_s\
JJ/1 tɕ͈ t_s\
k k k
Kh kʰ k_h
Kh/1 kʰ k_h
L l l
L/1 l l
M m m
M/1 m m
N n n
N/1 n n
NG ŋ N
O o o
O/1 o o
oA oa oa
oA/1 oa oa
OE ø 2
OE/1 ø 2
p p p
Ph pʰ p_h
Ph/1 pʰ p_h
R r r
R/1 r r
S s s
S/1 s s
SS s͈ s
SS/1 s͈ s
t t t
Th tʰ t_h
Th/1 tʰ t_h
U u u
U/1 u u
UE y y
UE/1 y y
uEO uə u@
uEO/1 uə u@
